date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
24/03/2016,gb,4,2387225,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
31/03/2016,gb,3,2454762,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
07/04/2016,gb,2,2496010,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
14/04/2016,gb,2,2459530,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
21/04/2016,gb,3,2486199,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
28/04/2016,gb,3,2332462,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
05/05/2016,gb,4,2226145,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
12/05/2016,gb,5,2185647,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
19/05/2016,gb,7,1947825,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
26/05/2016,gb,8,1752644,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
02/06/2016,gb,8,1886892,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
09/06/2016,gb,10,1703550,4tCtwWceOPWzenK2HAIJSb,"['Fifth Harmony', 'Ty Dolla $ign']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'uk pop', 'r&b', 'dance pop', 'trap soul', 'trap', 'hip hop', 'post-teen pop']",214480,FALSE,Work from Home (feat. Ty Dolla $ign)
18/04/2019,gb,10,1896695,6TqXcAFInzjp0bODyvrWEq,"['Khalid', 'Disclosure']","['pop r&b', 'pop', 'house', 'uk dance', 'edm']",197573,FALSE,Talk (feat. Disclosure)
25/04/2019,gb,10,2155207,6TqXcAFInzjp0bODyvrWEq,"['Khalid', 'Disclosure']","['pop r&b', 'pop', 'house', 'uk dance', 'edm']",197573,FALSE,Talk (feat. Disclosure)
14/02/2019,gb,7,2653159,4SPu0Ql902hTVXkBoNIYtq,['Ariana Grande'],"['dance pop', 'pop']",182000,FALSE,NASA
17/11/2016,gb,4,2405029,6fujklziTHa8uoM5OQSfIo,"['Rae Sremmurd', 'Gucci Mane']","['pop rap', 'mississippi hip hop', 'southern hip hop', 'gangster rap', 'melodic rap', 'dirty south rap', 'atl hip hop', 'trap', 'hip hop', 'rap']",291893,TRUE,Black Beatles
24/11/2016,gb,1,3032307,6fujklziTHa8uoM5OQSfIo,"['Rae Sremmurd', 'Gucci Mane']","['pop rap', 'mississippi hip hop', 'southern hip hop', 'gangster rap', 'melodic rap', 'dirty south rap', 'atl hip hop', 'trap', 'hip hop', 'rap']",291893,TRUE,Black Beatles
01/12/2016,gb,3,2833043,6fujklziTHa8uoM5OQSfIo,"['Rae Sremmurd', 'Gucci Mane']","['pop rap', 'mississippi hip hop', 'southern hip hop', 'gangster rap', 'melodic rap', 'dirty south rap', 'atl hip hop', 'trap', 'hip hop', 'rap']",291893,TRUE,Black Beatles
08/12/2016,gb,3,2445490,6fujklziTHa8uoM5OQSfIo,"['Rae Sremmurd', 'Gucci Mane']","['pop rap', 'mississippi hip hop', 'southern hip hop', 'gangster rap', 'melodic rap', 'dirty south rap', 'atl hip hop', 'trap', 'hip hop', 'rap']",291893,TRUE,Black Beatles
15/12/2016,gb,3,2139088,6fujklziTHa8uoM5OQSfIo,"['Rae Sremmurd', 'Gucci Mane']","['pop rap', 'mississippi hip hop', 'southern hip hop', 'gangster rap', 'melodic rap', 'dirty south rap', 'atl hip hop', 'trap', 'hip hop', 'rap']",291893,TRUE,Black Beatles
22/12/2016,gb,6,1872124,6fujklziTHa8uoM5OQSfIo,"['Rae Sremmurd', 'Gucci Mane']","['pop rap', 'mississippi hip hop', 'southern hip hop', 'gangster rap', 'melodic rap', 'dirty south rap', 'atl hip hop', 'trap', 'hip hop', 'rap']",291893,TRUE,Black Beatles
05/09/2019,gb,10,2036398,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
12/09/2019,gb,5,2288429,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
19/09/2019,gb,4,2395268,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
26/09/2019,gb,3,2274798,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
03/10/2019,gb,5,2253695,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
10/10/2019,gb,7,2239409,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
17/10/2019,gb,8,2023999,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
24/10/2019,gb,8,1884845,23GvTfcGK454ppLsts3W44,"['Young T & Bugsey', 'Aitch']","['manchester hip hop', 'uk hip hop', 'afroswing', 'nottingham hip hop']",214203,TRUE,Strike a Pose (feat. Aitch)
